,Country,Region_x,Happiness Score,"GDP (Billions, PPP)",GDP per Capita (PPP),Unemployment (%),Income Tax Rate (%),Freedom from Corruption,Fiscal Freedom ,Government Spending,Tariff Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Government Expenditure % of GDP ,Population (Millions),GDP Growth Rate (%),5 Year GDP Growth Rate (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Property Rights
49,Egypt,Middle East / North Africa,4.194,5.54,6.58,12.7,25.0,32.0,85.8,68.0,10.0,25.0,12.9,32.7,84.2,2.1,3.2,6.9,5553.0,89.2,65.4,53.6,67.4,70.0,50.0,40.0,20.0
50,El Salvador,South and Central America / Caribbean,6.13,0.47,7.51,6.3,30.0,38.0,79.4,85.5,2.4,30.0,16.0,22.0,6.3,1.6,0.8,0.8,140.1,54.9,53.3,53.3,82.5,85.2,75.0,70.0,35.0
53,Estonia,Europe,5.428999999999999,0.3,23.14,8.5,21.0,68.0,80.6,53.2,1.0,21.0,32.5,39.5,1.3,0.8,0.2,3.5,949.8,11.3,81.5,58.7,77.6,88.0,90.0,80.0,90.0
54,Ethiopia,Sub-Saharan Africa,4.512,1.21,1.37,5.7,35.0,33.0,77.4,91.4,10.3,30.0,11.6,16.9,88.9,9.7,10.1,8.0,953.0,22.2,55.9,56.4,66.1,64.4,20.0,20.0,30.0
56,Finland,Europe,7.406000000000001,1.94,35.62,8.1,31.8,89.0,66.4,3.6,1.0,20.0,44.1,56.7,5.5,-1.4,-1.0,2.2,-1064.8,57.0,92.6,54.8,79.9,88.0,90.0,80.0,90.0
57,France,Europe,6.575,22.78,35.78,10.5,45.0,71.0,47.5,2.5,1.0,34.3,45.3,57.0,63.7,0.3,0.2,1.0,4875.5,93.9,80.2,43.5,77.5,83.0,70.0,70.0,80.0
58,Gabon,Sub-Saharan Africa,3.8960000000000004,0.3,19.48,19.2,35.0,34.0,77.5,74.6,14.5,30.0,11.2,29.1,1.6,5.9,4.4,0.5,856.0,22.9,57.9,64.3,78.4,61.0,55.0,40.0,40.0
60,Georgia,Europe,4.297,0.28,6.14,14.3,20.0,49.0,87.2,73.8,0.7,15.0,25.5,29.6,4.5,3.2,3.7,-0.5,1009.7,31.8,88.6,79.9,82.7,88.6,80.0,60.0,40.0
61,Germany,Europe,6.75,32.33,40.01,5.3,47.5,78.0,60.8,40.1,1.0,15.8,37.6,44.7,80.8,0.5,0.7,1.6,26720.8,78.1,88.2,51.2,81.5,88.0,90.0,70.0,90.0
62,Ghana,Sub-Saharan Africa,4.633,0.89,3.46,4.5,25.0,46.0,84.6,70.8,10.1,25.0,17.1,31.2,25.6,5.5,8.0,11.7,3226.3,60.1,62.5,56.9,69.2,64.8,65.0,60.0,50.0
