Country Name,Region,Property Rights,Freedom from Corruption,Fiscal Freedom ,Government Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Government Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
India,Asia-Pacific,55,36,79.4,78.3,43.3,48.7,65.3,64.6,35,40,7.7,30.9,32.4,7.3,26.9,India,1243.3,"$5,069.20",4.4,6.9,"$4,077.00",3.7,9.5,"28,199.4",66.7
Indonesia,Asia-Pacific,30,32,83.3,88.3,49.3,48.7,74.9,74.8,40,60,2.6,30,25,11.9,19.7,Indonesia,248,"$1,292.80",5.8,5.9,"$5,214.00",6,6.4,"18,444",26.1
Iran,Middle East / North Africa,10,25,81.2,93,57,51.3,48.7,41.4,0,10,21.8,35,25,5.9,15.3,Iran,77.1,$945.50,-1.7,1,"$12,264.00",13.2,35.2,"3,049.9",10.6
Iraq,Middle East / North Africa,N/A,16,N/A,43.8,57.7,74.4,73.6,N/A,N/A,N/A,N/A,15,15,N/A,43.3,Iraq,34.8,$257.00,4.2,7.2,"$7,391.00",16.1,1.9,"2,852",31.3
Ireland,Europe,85,72,73.6,45.6,82.1,76.2,83.9,88,90,70,1,41,12.5,28.3,42.6,Ireland,4.8,$188.90,-0.3,-1.1,"$39,547.00",13.6,0.5,"35,519.7",122.8
Israel,Middle East / North Africa,75,61,61.9,47.8,72.4,67.1,81.6,88.6,80,70,0.7,48,26.5,28.3,41.7,Israel,7.9,$273.70,3.3,3.6,"$34,770.00",6.7,1.5,"11,803.8",66.7
Italy,Europe,55,43,54.2,23.2,71.9,55.4,81.2,88,85,60,1,43,27.5,44.4,50.6,Italy,59.7,"$1,807.80",-1.9,-1.5,"$30,289.00",12.2,1.3,"16,507.8",132.5
Jamaica,South and Central America / Caribbean,40,38,81.5,73.2,85.9,76.5,71.4,75,85,50,7.5,25,25,24.4,29.9,Jamaica,2.8,$25.20,0.5,-0.7,"$9,048.00",15,9.4,567.1,138.9
Japan,Asia-Pacific,80,74,68.7,47.1,84.1,90.2,86.7,82.6,70,50,1.2,40.8,25.5,28.6,42,Japan,127.3,"$4,698.80",1.5,0.3,"$36,899.00",4.1,0.4,"2,303.7",243.2
Jordan,Middle East / North Africa,60,45,93.7,70.7,59.1,74.4,80.6,79.6,70,60,5.2,14,14,15.3,31.2,Jordan,6.5,$40.00,3.3,3.2,"$6,115.00",12.6,5.5,"1,798.5",87.7
Kazakhstan,Asia-Pacific,25,26,93.2,85,73.7,87,74.6,79,40,50,3,10,20,13.5,22.4,Kazakhstan,17.2,$246.90,6,5.4,"$14,391.00",5.2,5.8,"9,738.5",13.5
Kenya,Sub-Saharan Africa,30,27,78,72.1,47.9,63.8,72.8,64,50,50,10.5,30,30,20.1,30.5,Kenya,44.4,$80.40,5.6,4.6,"$1,812.00",9.2,5.7,514.4,50.5
Kiribati,Asia-Pacific,30,29.2,73,0,56.8,83.9,80.6,55.4,25,30,17.3,35,35,15.7,109.2,Kiribati,0.1,$0.70,2.9,1.5,"$6,391.00",N/A,2,9,N/A
"Korea, North ",Asia-Pacific,5,8,0,0,0,0,0,0,0,0,0,N/A,25,100,100,"Korea, North",N/A,N/A,N/A,N/A,N/A,4.6,N/A,227,N/A
"Korea, South",Asia-Pacific,75,55,72.5,67.9,89.7,51.1,81.6,72.6,70,80,8.7,38,24.2,26.8,32.7,"Korea, South",50.2,"$1,666.80",2.8,3,"$33,189.00",3.2,1.3,"12,220.7",36.7
Kuwait,Middle East / North Africa,45,43,97.7,61.1,58.6,64.2,74,76.2,55,50,4.4,0,15,0.7,36,Kuwait,3.9,$154.50,0.8,0.6,"$39,706.00",3.1,2.7,"2,329",5.3
Kyrgyz Republic,Asia-Pacific,20,24,93.6,53.2,73.7,85,73.8,80.2,60,50,2.4,10,10,21,39.5,Kyrgyz Republic,5.6,$14.70,10.5,3.5,"$2,611.00",7.9,6.6,757.6,47.7
Lao P.D.R.,Asia-Pacific,15,26,86.2,86.8,59.5,57.1,74.5,58.6,30,20,13.2,24,24,15,21,Laos,6.8,$20.80,8.2,7.9,"$3,068.00",1.4,6.4,296,62
Latvia,Europe,50,53,84.4,59.2,82.1,61.5,83.8,88,85,50,1,24,15,27.6,36.9,Latvia,2,$38.90,4.1,-1.3,"$19,120.00",10.9,0,808.3,32.1
Lebanon,Middle East / North Africa,20,28,91.3,70.6,54.7,60.7,72,75.8,60,60,7.1,20,15,15.7,31.3,Lebanon,4.5,$66.30,1,4.5,"$14,845.00",6.6,3.2,"2,832.7",139.7
Lesotho,Sub-Saharan Africa,35,49,68.5,0,54.7,63.9,75.2,64.6,45,40,12.7,35,25,36.1,61.1,Lesotho,1.9,$4.30,5.8,5.2,"$2,255.00",27,5.3,44.1,39.6
Liberia,Sub-Saharan Africa,25,38,83,69.9,60.1,43.9,72.7,74.4,40,20,5.3,25,25,21.1,31.7,Liberia,4.1,$2.90,8,7,$703.00,3.8,7.6,"1,061.3",29.5
Libya,Middle East / North Africa,10,15,95,37.5,46.8,66.7,71.4,80,5,20,0,10,20,0.7,45.7,Libya,6.1,$70.40,-9.4,-6,"$11,498.00",9,2.6,702,0
Liechtenstein,Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,85,80,0,7,12.5,N/A,N/A,Liechtenstein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,Europe,60,57,92.9,61.3,84.9,62,81.2,88,80,80,1,15,15,16,35.9,Lithuania,3,$67.60,3.3,-0.4,"$22,747.00",12.1,1.2,531.1,39.3
Luxembourg,Europe,90,80,62.3,42.2,71.3,42.1,80.7,88,95,80,1,43.6,21,37.8,43.9,Luxembourg,0.5,$42.60,2,0.2,"$78,670.00",5.7,1.7,"30,075.4",22.9
Macau,Asia-Pacific,60,49.7,71.8,91.8,60,50,74.9,90,85,70,0,12,39,34,16.5,Macau,N/A,N/A,N/A,N/A,N/A,1.8,N/A,"2,331.3",N/A
Macedonia,Europe,35,44,91.4,65.6,79.2,70.7,79,86.2,60,60,1.9,10,10,25.6,33.8,Macedonia,2.1,$22.60,3.1,1.5,"$10,904.00",29.7,2.8,333.9,35.8
Madagascar,Sub-Saharan Africa,45,28,90.9,94.7,62.3,45.1,79.2,71.8,50,50,9.1,20,20,10.3,13.3,Madagascar,23,$22.30,2.4,0.6,$970.00,3.8,5.8,837.5,N/A
Malawi,Sub-Saharan Africa,40,37,78.5,49,49.1,63.1,53.8,72.2,55,50,6.4,30,30,18.8,41.2,Malawi,17.1,$15.00,5,5.3,$879.00,7.6,27.7,118.4,68.9
Malaysia,Asia-Pacific,55,50,84.4,74,93.5,75.7,80.8,80,55,60,5,26,25,16.1,29.5,Malaysia,29.6,$525.70,4.7,4.2,"$17,748.00",3.2,2.1,"12,305.7",58.2
Maldives,Asia-Pacific,25,21.9,95.5,50.6,85.8,73.4,74.1,47.8,30,30,21.1,0,0,21.2,40.6,Maldives,0.3,$3.10,3.7,2.8,"$9,173.00",11.7,4,325.3,80.7
