Country,Country Code,Region,Happiness Ranking,Happiness Score,Unemployment Rate 2015(%) ,Gross GDP 2015(USD Billion),GDP Per Capita 2015(USD in thousands) 
Myanmar,MMR,Southeastern Asia,129,4.31,0.77,59.69,1.15
Georgia,GEO,Central and Eastern Europe,130,4.3,11.96,13.99,3.76
Malawi,MWI,Sub-Saharan Africa,131,4.29,5.88,6.37,0.35
Sri Lanka,LKA,Southern Asia,132,4.27,4.67,80.6,3.84
Cameroon,CMR,Sub-Saharan Africa,133,4.25,4.3,30.92,1.34
Bulgaria,BGR,Central and Eastern Europe,134,4.22,9.14,50.2,7.02
Egypt,EGY,Middle East and Northern Africa,135,4.19,13.05,332.7,3.73
Yemen,YEM,Middle East and Northern Africa,136,4.08,13.81,45.59,1.61
Angola,AGO,Sub-Saharan Africa,137,4.03,7.28,116.19,4.35
Mali,MLI,Sub-Saharan Africa,138,4,7.73,13.1,0.74
Comoros,COM,Sub-Saharan Africa,140,3.96,4.34,0.99,0.75
Uganda,UGA,Sub-Saharan Africa,141,3.93,1.9,27.1,0.66
Senegal,SEN,Sub-Saharan Africa,142,3.9,4.85,17.77,1.19
Gabon,GAB,Sub-Saharan Africa,143,3.9,20,14.38,7.45
Niger,NER,Sub-Saharan Africa,144,3.85,0.34,7.22,0.41
Cambodia,KHM,Southeastern Asia,145,3.82,0.18,18.05,1.16
Madagascar,MDG,Sub-Saharan Africa,147,3.68,1.8,9.74,0.4
Central African Republic,CAF,Sub-Saharan Africa,148,3.68,6.39,1.58,0.33
Chad,TCD,Sub-Saharan Africa,149,3.67,5.66,10.95,0.95
Guinea,GIN,Sub-Saharan Africa,150,3.66,4.53,8.79,0.71
Burkina Faso,BFA,Sub-Saharan Africa,152,3.59,6.49,10.42,0.58
Afghanistan,AFG,Southern Asia,153,3.58,8.86,19.91,0.59
Rwanda,RWA,Sub-Saharan Africa,154,3.46,1.16,8.28,0.74
Benin,BEN,Sub-Saharan Africa,155,3.34,2.63,8.29,0.79
Burundi,BDI,Sub-Saharan Africa,157,2.9,1.57,3.1,0.29
Togo,TGO,Sub-Saharan Africa,158,2.84,1.84,4.18,0.56
