,Country,Country Code,Region,Happiness Ranking,Happiness Score,Gross GDP 2015,Unemployment Rate 2015(%) ,GDP Per Capita 2015(USD),Gross GDP 2015(USD Billion),GDP Per Capita 2015(USD in thousands) 
42,Guatemala,GTM,Latin America and Caribbean,43,6.12,63767597193.9175,2.70,3923.56,63.77,3.92
43,Uzbekistan,UZB,Central and Eastern Europe,44,6.00,66903804142.5395,7.94,2143.29,66.90,2.14
45,Japan,JPN,Eastern Asia,46,5.99,4394977752877.82,3.33,34612.25,"4,394.98",34.61
47,Ecuador,ECU,Latin America and Caribbean,48,5.97,99290381000.0,3.62,6099.35,99.29,6.10
48,Bahrain,BHR,Middle East and Northern Africa,49,5.96,31125851063.8298,1.21,22714.24,31.13,22.71
49,Italy,ITA,Western Europe,50,5.95,1832868490534.11,11.90,30163.21,"1,832.87",30.16
50,Bolivia,BOL,Latin America and Caribbean,51,5.89,33000198263.3864,3.07,3099.45,33.00,3.10
52,Paraguay,PRY,Latin America and Caribbean,53,5.88,36164068797.2511,4.56,5353.08,36.16,5.35
53,Kazakhstan,KAZ,Central and Eastern Europe,54,5.86,184388432148.715,4.93,10434.76,184.39,10.43
54,Slovenia,SVN,Central and Eastern Europe,55,5.85,43072415017.4321,8.96,20890.3,43.07,20.89
55,Lithuania,LTU,Central and Eastern Europe,56,5.83,41508609232.7778,9.12,14296.35,41.51,14.30
56,Nicaragua,NIC,Latin America and Caribbean,57,5.83,12611087031.4931,4.48,2073.49,12.61,2.07
57,Peru,PER,Latin America and Caribbean,58,5.82,189926516769.25,3.00,6150.46,189.93,6.15
58,Belarus,BLR,Central and Eastern Europe,59,5.81,56454734396.5842,0.49,5941.24,56.45,5.94
59,Poland,POL,Central and Eastern Europe,60,5.79,476970902628.57794,7.50,12559.9,476.97,12.56
60,Malaysia,MYS,Southeastern Asia,61,5.77,296636282166.176,3.10,9677.16,296.64,9.68
61,Croatia,HRV,Central and Eastern Europe,62,5.76,49490142433.1046,16.18,11779.01,49.49,11.78
62,Libya,LBY,Middle East and Northern Africa,63,5.75,27842131486.4054,18.36,2719.95,27.84,2.72
64,Jamaica,JAM,Latin America and Caribbean,65,5.71,14145469269.456999,13.51,5029.07,14.15,5.03
